Year,Date,Incident SW (W/m2),Reflected SW (W/m2),Atmospheric LW (W/m2),Terrest LW (W/m2),Net Radiation (W/m2)
2000,1/1/00,87.27,71.1,223.19,268.84,-26.15
2000,1/2/00,66.17,57.86,208.5,251.09,-31.82
2000,1/3/00,101.61,87.31,201.1,230.01,-15.36
2000,1/4/00,122.07,102.57,208.14,255.17,-27.12
2000,1/5/00,104.05,87.6,230.89,249.68,-5.32
2000,1/6/00,128.61,120.7,158.86,240.07,-70.55
2000,1/7/00,92.25,74.31,193.31,260.82,-43.39
2000,1/8/00,123.91,97.39,188.89,255.32,-38.39
2000,1/9/00,73.59,54.75,239.68,249.29,3.99
2000,1/10/00,34.83,31.53,261.87,263.27,0.17
2000,1/11/00,120.51,116.64,252.05,276.53,-18.39
2000,1/12/00,32.22,27.94,267.93,272.81,-1.34
2000,1/13/00,120.31,118.64,211.47,271.32,-54.67
2000,1/14/00,127.51,125.94,182.06,272.51,-79.76
2000,1/15/00,111.76,102.11,209.42,280.11,-51.98
2000,1/16/00,95.2,82.1,259.97,291.62,-15.43
2000,1/17/00,113.56,100.17,238.8,290.99,-32.43
2000,1/18/00,56.77,48.38,267.67,293.15,-16.62
2000,1/19/00,61.55,53.17,264.42,281.94,-10.37
2000,1/20/00,131.89,123.57,201.5,273.57,-54.15
2000,1/21/00,79.12,68.75,254.48,279.61,-15.98
2000,1/22/00,60.38,52.49,253.93,259.2,-0.68
2000,1/23/00,139.12,132,199.18,247.19,-37.5
2000,1/24/00,51.1,45.08,254.68,267.12,-7.6
2000,1/25/00,57.11,49.26,269.1,284,-7.61
2000,1/26/00,72.67,64.91,258.38,274.99,-3.83
2000,1/27/00,135.09,126.23,212.21,250.04,-26.74
2000,1/28/00,149.1,136.2,173.89,229.28,-40.96
2000,1/29/00,129.02,115.13,191.22,235.45,-28.37
2000,1/30/00,162.27,152.41,150.54,239.92,-69.53
2000,1/31/00,165.45,155.74,146.54,237.23,-68.38
2000,2/1/00,165.8,152.4,153.44,239.16,-59.49
2000,2/2/00,120.24,106.11,189.38,272.51,-57.95
2000,2/3/00,140.17,124.15,201.47,270.74,-44.96
2000,2/4/00,157.27,140.53,186.68,263.08,-53.84
2000,2/5/00,149.36,132,206.14,271.92,-37.81
2000,2/6/00,177.57,154.45,202.27,271.94,-38.59
2000,2/7/00,169.8,148.16,207.11,271.78,-36.03
2000,2/8/00,153.18,132.69,188.68,274.07,-54.19
2000,2/9/00,91.81,74.6,237.61,278.66,-22.2
2000,2/10/00,94.97,82.54,259.47,280.08,-12.08
2000,2/11/00,119.25,104.45,260.42,277.89,-8.25
2000,2/12/00,89.75,77.41,240.69,272.32,-19.82
2000,2/13/00,99.33,87.88,258.15,263.52,0.26
2000,2/14/00,90.06,80.24,279.41,284.48,-0.08
2000,2/15/00,90.7,79.49,260.06,272.06,-4.46
2000,2/16/00,165.51,152.35,221.97,274.81,-36.66
2000,2/17/00,99.38,89.17,244.6,267.98,-36.13
2000,2/18/00,156.91,144.64,233.29,263.08,
