loc_code,date,ht_bottom_horizon,ht_top_horizon,horizon_thickness,meas_wt,meas_temp
8,2/26/93,0,0.1,0.1,266,-6
8,2/26/93,0.1,0.2,0.1,380,-6
8,2/26/93,0.2,0.3,0.1,319,-7
8,2/26/93,0.3,0.4,0.1,342,-8
8,2/26/93,0.4,0.5,0.1,291,-9
8,2/26/93,0.5,0.6,0.1,241,-11
8,2/26/93,0.6,0.7,0.1,307,-11
8,2/26/93,0.7,0.73,0.03,307,-10
28,2/26/93,0,0.1,0.1,324,-6
28,2/26/93,0.1,0.2,0.1,287,-7
28,2/26/93,0.2,0.3,0.1,199,-9
28,2/26/93,0.3,0.38,0.08,248,-9
28,2/26/93,0.38,0.38,0,NaN,-10
56,2/26/93,2.2,2.3,0.1,NaN,-5
56,2/26/93,2.3,2.4,0.1,NaN,-5
56,2/26/93,2.4,2.5,0.1,NaN,-6
56,2/26/93,2.5,2.6,0.1,NaN,-6
56,2/26/93,2.6,2.7,0.1,NaN,-6.5
56,2/26/93,2.7,2.8,0.1,NaN,-7
56,2/26/93,2.8,2.9,0.1,NaN,-7
56,2/26/93,2.9,3,0.1,NaN,-7
56,2/26/93,3,3.1,0.1,450,-8
56,2/26/93,3.1,3.2,0.1,372,-8
56,2/26/93,3.2,3.3,0.1,365,-8
56,2/26/93,3.3,3.4,0.1,325,-9
56,2/26/93,3.4,3.5,0.1,410,-9
56,2/26/93,3.5,3.6,0.1,405,-10
56,2/26/93,3.6,3.7,0.1,297,-10
56,2/26/93,3.7,3.8,0.1,353,-10.5
56,2/26/93,3.8,3.9,0.1,267,-10
56,2/26/93,3.9,4,0.1,241,-10
56,2/26/93,4,4.1,0.1,166,-10
56,2/26/93,4.1,4.1,0,NaN,-9
58,2/26/93,0,0.1,0.1,311,-5
58,2/26/93,0.1,0.2,0.1,327,-6
58,2/26/93,0.2,0.3,0.1,346,-7
58,2/26/93,0.3,0.4,0.1,359,-8
58,2/26/93,0.4,0.5,0.1,248,-9
58,2/26/93,0.5,0.59,0.09,244,-9
58,2/26/93,0.59,0.59,0,NaN,-9
7,3/4/93,0,0,0,NaN,-4
7,3/4/93,0,0.1,0.1,NaN,-5
7,3/4/93,0.1,0.2,0.1,415,-5
7,3/4/93,0.2,0.3,0.1,415,-5.5
7,3/4/93,0.3,0.4,0.1,338,-6
7,3/4/93,0.4,0.49,0.09,326,-6
7,3/4/93,0.49,0.49,0,NaN,-6.5
28,3/4/93,0,0,0,NaN,-5
28,3/4/93,0,0.1,0.1,306,-6
28,3/4/93,0.1,0.2,0.1,363,-7
28,3/4/93,0.2,0.3,0.1,348,-6
28,3/4/93,0.3,0.3,0,NaN,-3
35,3/4/93,0,0,0,NaN,-0.5
35,3/4/93,0,0.15,0.15,382,-1
35,3/4/93,0.15,0.25,0.1,394,-2
35,3/4/93,0.25,0.35,0.1,434,-2
35,3/4/93,0.35,0.45,0.1,425,-2.5
35,3/4/93,0.45,0.55,0.1,370,-3
35,3/4/93,0.55,0.65,0.1,381,-3
35,3/4/93,0.65,0.75,0.1,387,-3.5
35,3/4/93,0.75,0.85,0.1,392,-4
35,3/4/93,0.85,0.95,0.1,427,-4
35,3/4/93,0.95,1.05,0.1,429,-4.5
35,3/4/93,1.05,1.15,0.1,455,-5
35,3/4/93,1.15,1.25,0.1,419,-5
35,3/4/93,1.25,1.35,0.1,345,-5.5
35,3/4/93,1.35,1.45,0.1,355,-6
35,3/4/93,1.45,1.55,0.1,363,-6
35,3/4/93,1.55,1.65,0.1,358,-7
35,3/4/93,1.65,1.75,0.1,338,-8
35,3/4/93,1.75,1.85,0.1,347,-8.5
35,3/4/93,1.85,1.95,0.1,344,-9
35,3/4/93,1.95,2.05,0.1,305,-7
35,3/4/93,2.05,2.15,0.1,246,-6.5
35,3/4/93,2.15,2.15,0,NaN,-6
37,3/4/93,0,0.1,0.1,NaN,-3
37,3/4/93,0.1,0.2,0.1,NaN,-3
37,3/4/93,0.2,0.3,0.1,NaN,-4
37,3/4/93,0.3,0.4,0.1,NaN,-4.5
37,3/4/93,0.4,0.5,0.1,334,-5
37,3/4/93,0.5,0.6,0.1,318,-6.5
37,3/4/93,0.6,0.7,0.1,307,-7
37,3/4/93,0.7,0.8,0.1,263,-6
37,3/4/93,0.8,0.8,0,NaN,-4
16,3/11/93,0,0,0,NaN,-2
16,3/11/93,0,0.1,0.1,342,-3
16,3/11/93,0.1,0.2,0.1,384,-4
16,3/11/93,0.2,0.3,0.1,469,-4
16,3/11/93,0.3,0.4,0.1,448,-4
16,3/11/93,0.4,0.5,0.1,421,-4
16,3/11/93,0.5,0.6,0.1,414,-4
16,3/11/93,0.6,0.7,0.1,388,-4.5
16,3/11/93,0.7,0.8,0.1,369,-5
16,3/11/93,0.8,0.9,0.1,343,-5
16,3/11/93,0.9,1,0.1,370,-5
16,3/11/93,1,1.1,0.1,282,-5
16,3/11/93,1.1,1.2,0.1,281,-5
16,3/11/93,1.2,1.3,0.1,127,-4
16,3/11/93,1.3,1.35,0.05,NaN,-3
16,3/11/93,1.35,1.35,0,NaN,-3
37,3/11/93,0,0,0,NaN,-2
37,3/11/93,0,0.1,0.1,375,-3
37,3/11/93,0.1,0.2,0.1,370,-3
37,3/11/93,0.2,0.3,0.1,418,-3
37,3/11/93,0.3,0.4,0.1,358,-4
37,3/11/93,0.4,0.5,0.1,343,-4
37,3/11/93,0.5,0.6,0.1,330,-5
37,3/11/93,0.6,0.7,0.1,358,-5
37,3/11/93,0.7,0.8,0.1,238,-3
37,3/11/93,0.8,0.86,0.06,120,-3
37,3/11/93,0.86,0.86,0,NaN,-4
16,3/18/93,0,0,0,NaN,-1.5
16,3/18/93,0,0.1,0.1,470,-2.5
16,3/18/93,0.1,0.2,0.1,470,-3
16,3/18/93,0.2,0.3,0.1,470,-3
16,3/18/93,0.3,0.4,0.1,470,-3
16,3/18/93,0.4,0.5,0.1,440,-3.5
16,3/18/93,0.5,0.6,0.1,440,-4
16,3/18/93,0.6,0.7,0.1,410,-4
16,3/18/93,0.7,0.8,0.1,400,-4
16,3/18/93,0.8,0.9,0.1,384,-4.5
16,3/18/93,0.9,1,0.1,385,-4.5
16,3/18/93,1,1.1,0.1,335,-5
16,3/18/93,1.1,1.2,0.1,330,-4.5
16,3/18/93,1.2,1.3,0.1,350,-4.5
16,3/18/93,1.3,1.4,0.1,295,-3.5
16,3/18/93,1.4,1.49,0.09,296,-2
16,3/18/93,1.49,1.49,0,NaN,-3
16,4/1/93,0,0,0,NaN,-1
16,4/1/93,0,0.1,0.1,350,-2
